,name,address,Telephone,Website
54,Easy PC,"""101 Evelyn Rd,  Sevenoaks, TN14 5PU""",01959 524168 ,https://www.easypc-otford.co.uk?utm_source=yell&utm_medium=referral&utm_campaign=yell
55,The Computer Shop,[],01258 480816 ,http://www.blandfordcomputershop.co.uk/
56,Summer Valley PCs,"""32 Aberdyberthi St,  Swansea, SA1 2LL""",01792 538168 ,http://www.summervalleypcs.co.uk
57,Qss IT Ltd,"""Office 1, 11-13, Eastover,  Bridgwater, TA6 5AG""",01278 552880 ,http://www.qssit.co.uk?utm_source=yell&utm_medium=referral&utm_campaign=yell
58,PC Repair Point,"""226 Edgware Rd,  London, W2 1DH""",020 7018 4220 ,http://www.pcrepairpoint.com
59,BL IT Solutions Ltd,"""Unit 7a, Granville House, Granville Rd,  Maidstone, ME14 2BJ""",01634 562764 ,http://bl-it-solutions.co.uk/
60,IT Associates,"""Unit 1 Acer Court, Heol Parc Mawr, Cross Hands Ind Est,  Llanelli, SA14 6RE""",07977 431141 ,https://www.itasupport.co.uk/
61,Goto iT,"""28 Gloucester Rd North,  Bristol, BS7 0SJ""",0117 969 8767 ,http://www.goto-it.co.uk/
62,Easthill Computer Services,"""Unit 5 Oakney Wood Avenue, Selby Business Park,  Selby, YO8 8FQ""",01757 290500 ,http://www.easthillcomputers.co.uk/
63,Tek Shop Ltd,"""Unit 5 Michael Gill Building, Tolgate Lane,  Rochester, ME2 4TG""",01634 722211 ,http://www.thetekshop.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell
64,ExtraScope Ltd,"""Unit 19, Woodlands Workshops, Coedcae Lane,  Pontyclun, CF72 9DW""",01443 606111 ,http://www.extrascope.com
65,Troycomm Systems,"""83 Ducie St,  Manchester, M1 2JQ""",0161 537 3990 ,https://www.troycomm.co.uk
66,Redoq Ltd,"""2a, Scotia Rd,  Stoke-On-Trent, ST6 4EP, Staffordshire""",0161 408 0699 ,http://www.redoq.com
67,PC Wakeup Ltd,"""198 St. Helens St,  Ipswich, IP4 2LH""",01473 760999 ,http://www.pcwakeup.co.uk/
68,Stoneward IT Limited,"""26 Regina Drive,  Nottingham, NG8 3NP""",0115 860 5337 ,https://www.stoneward.co.uk
69,Jolly I.T Solutions Ltd,"""Adam House 7-10 Adam St,  London, WC2N 6AA""",08003 317668 ,http://www.jollyit.co.uk/
70,The Computer Shop,"""444 Leyland Rd,  Preston, PR5 5RY""",01772 288222 ,http://www.thecomputershoppreston.co.uk
71,SupportPlan,"""Unit 17, 83, Crampton St,  London, SE17 3BQ""",020 7582 9999 ,https://www.supportplan.com/?utm_source=yell&utm_medium=referral&utm_campaign=yell
72,Simply IT,"""4 Kenwood Close,  Trowbridge, BA14 7DN""",01225 719471 ,http://www.simplyitonline.com
73,1st Contact Computer Support,[],0131 554 8307 ,http://www.1stcontactcomputersupport.co.uk
74,Blue Sky I.t Solutions Ltd,"""18 Mayfield Rd,  Chesterfield, S40 3AJ""",01246 559932 ,https://www.blueskyit.co.uk?utm_source=yell&utm_medium=referral&utm_campaign=yell
75,MH Computers Ltd,"""Trident House Milner Way,  Ossett, WF5 9JE""",01924 900059 ,https://www.mhcomputers.co.uk
76,iTrac Computing Ltd,"""Office G54, 1000 Lakeside North Harbor,  Portsmouth, PO6 3EZ""",023 9270 4144 ,https://www.itrac-computing.co.uk/
77,Absolute Consultancy Services,"""Richmond House Hill St,  Ashton-Under-Lyne, OL7 0PZ""",0161 850 0187 ,https://www.ginger-geek.com
78,DB Home Computer Repairs,"""Buckley Drive,  Matlock, DE4 5PN""",01629 580712 ,http://www.dbhomecomputerrepairs.co.uk
79,Infonetmedia Ltd,"""45 Queen St,  Portsmouth, PO1 3HW""",023 9229 7338 ,http://www.infonetmedia.co.uk?utm_source=yell&utm_medium=referral&utm_campaign=yell
80,Everett's Computer Services,"""119 Cropton Rd,  Hull, HU5 4LW""",01482 241 004 ,https://ecshull.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell
81,Kent Electronic Services (Kes) Ltd,"""Unit 7 Kiln Bridge Works, Lower Rd,  Maidstone, ME15 0HD""",01622 721000 ,https://kesuk.net
82,Fab It,"""Arena, Nimrod Way, East Dorset Trade Park,  Wimborne, BH21 7UH""",01425 463204 ,https://fabit.co.uk
83,Big Computers,"""56 Cobden St,  Dalton-In-Furness, LA15 8SE""",07729 983253 ,http://www.bigcomputers.biz
84,Wigboo Ltd,"""Booths Hall Office G1e, Springwood, Chelford Rd,  Knutsford, WA16 8GS""",01625 582309 ,http://wigboo.co.uk/
85,C M O S Technology,"""24 Stafford St,  Walsall, WS2 8DG""",01922 278117 ,http://c-mos.co.uk/index.php?route=product/category&path=17
86,System Restore UK,"""2 The Wynd,  Letchworth Garden City, SG6 3EN""",01462 339101 ,No Website Found!
87,DigiDog Tech Ltd,"""115 Hawkshead St,  Southport, PR8 6AH""",01704 779321 ,https://digidogtech.co.uk?utm_source=yell&utm_medium=referral&utm_campaign=yell
88,Vinnie the Computer Man,"""131 Brighton Rd,  Worthing, BN11 2EU""",01903 537263 ,http://www.vinnie-the-computer-man.co.uk
89,PC Fairy,[],0118 983 1843 ,https://pcfairy.co.uk/
90,Erud I T,"""Trinity House, Wharf Farm, Coventry Rd,  Hinckley, LE10 0NF""",01332 414265 ,https://www.erudit.co.uk
91,JA Computer & Mobile Phone Repairs,"""123 Lilac Wynd,  Glasgow, G72 7GH""",07804 065395 ,http://www.jacomputerservices.co.uk
92,TechRescue Computer Repair,"""104 Rosemount Viaduct,  Aberdeen, AB25 1NX""",01224 622312 ,http://www.techrescueonline.co.uk
93,ACS Technology,"""Unit G1A, Wheatsheaf Workshops, High St,  Wrexham, LL14 3YE""",01978 822135 ,https://acstechnology.co.uk/
94,Steer IT Solutions,"""1st Floor Cromlin East, Forest Farm Ind Est, Longwood Drive,  Cardiff, CF14 7YT""",029 2034 8877 ,http://www.steerits.co.uk
95,Star Computer Services UK Ltd,"""55 Crick Rd,  Rugby, CV21 4DU""",01788 221221 ,http://www.starcomputers.co.uk
96,Vartika Software Private Ltd,"""140-142 King St,  Castle Douglas, DG7 1LU""",01556 504733 ,https://www.vartikasoftware.com
97,I D Computers,"""13 The Crescent,  Gateshead, NE11 9SJ""",0191 406 1979 ,No Website Found!
98,Northern I T Consultancy,"""5 Rishton Lane,  Bolton, BL3 6QZ""",01204 456671 ,http://www.nitc.co.uk
99,Jolly I.t Solutions Ltd,"""The Workstation, 15, Paternoster Row,  Sheffield, S1 2BX""",08003 317668 ,http://www.jollyit.co.uk
100,High City I T Ltd,[],020 3355 6516 ,http://www.highcityit.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell
